CONCISE NET LIST - 1  
BRD_REV<2>               U101_UP          K29      SR6P7_BGA516_AAI_FPBGA-AAI-SR6P7G7ED1C7-ES
BRD_REV<3>               R221             1        RES_AAI_0402-AAI-10K,1%,1/10W,TK
BRD_REV<3>               U101_UP          K30      SR6P7_BGA516_AAI_FPBGA-AAI-SR6P7G7ED1C7-ES
BST2_BLK                 C112_BLK_PMIC    1        CAP_AAI_0402-AAI-47000PF,10%,16V,X7R
BST2_BLK                 U101_BLK_PMIC    34       VREF_L5965_AAI_VFQFPN-AAI-L5965
BST3_PMIC                C2_PMIC          1        CAP_AAI_0402-AAI-47000PF,10%,16V,X7R
BST3_PMIC                U101_BLK_PMIC    15       VREF_L5965_AAI_VFQFPN-AAI-L5965
BST4_PMIC                C3_PMIC          1        CAP_AAI_0402-AAI-47000PF,10%,16V,X7R
BST4_PMIC                U101_BLK_PMIC    24       VREF_L5965_AAI_VFQFPN-AAI-L5965
BST_12V                  C2_12V           1        CAP_AAI_0402-AAI-2200PF,10%,50V,X7R
BST_12V                  U1_12V           7        DCDC_LM5164_AAI_SO-AAI-LM5164-Q1
BST_12VAO                C2_AO            1        CAP_AAI_0402-AAI-2200PF,10%,50V,X7R
BST_12VAO                U1_AO            7        DCDC_LM5164_AAI_SO-AAI-LM5164-Q1
BST_15VPD                C2_15VPD         1        CAP_AAI_0402-AAI-2200PF,10%,50V,X7R
BST_15VPD                U1_15VPD         7        DCDC_LM5164_AAI_SO-AAI-LM5164-Q1
BUS_R1_VB                R11_VB           1        RES_AAI_1206-AAI-1M,0.5%,2/3W,TK
BUS_R1_VB                R12_VB           2        RES_AAI_1206-AAI-1M,0.5%,2/3W,TK
BUS_R2_VB                R12_VB           1        RES_AAI_1206-AAI-1M,0.5%,2/3W,TK
BUS_R2_VB                R13_VB           2        RES_AAI_1206-AAI-1M,0.5%,2/3W,TK
BUS_R3_VB                R13_VB           1        RES_AAI_1206-AAI-1M,0.5%,2/3W,TK
BUS_R3_VB                R14_VB           2        RES_AAI_1206-AAI-1M,0.5%,2/3W,TK
CAN_A_ERROR_L            R9_CANA          2        RES_AAI_0402-AAI-10K,1%,1/10W,TK
CAN_A_ERROR_L            U101_UP          F10      SR6P7_BGA516_AAI_FPBGA-AAI-SR6P7G7ED1C7-ES
CAN_A_ERROR_L            U1_CANA          8        TJA1463_AAI_HVSON-AAI-TJA1463
CAN_A_H                  C4_CANA          1        CAP_AAI_0603-AAI-47PF,5%,100V,C0G
